SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
0.0,1,488,0,0,0,0,0,0,0,0
0.5,1,487,0,0,0,0,0,0,0,0
1.0,1,488,0,0,0,0,0,0,0,0
1.5,1,487,0,0,0,0,0,0,0,0
2.0,1,485,0,0,0,0,0,0,0,0
2.5,1,490,34,6,3,14,10,5,5,4
3.0,1,484,34,6,3,14,10,5,5,4
3.5,1,482,180,22,3,6,5,2,4,3
4.0,1,483,180,22,3,6,5,2,4,3
4.5,1,480,241713,88293,34401,27420,13003,11454,4662,17322
5.0,1,476,241713,88293,34401,27420,13003,11454,4662,17322
5.5,1,485,18330,20789,10711,10282,3877,35306,12367,116835
6.0,1,485,18330,20789,10711,10282,3877,35306,12367,116835
6.5,1,492,4384,14890,6536,4115,10570,50298,2271,131767
7.0,1,488,4384,14890,6536,4115,10570,50298,2271,131767
7.5,1,487,278762,91840,24238,34308,14711,81168,3649,102786
8.0,1,493,278762,91840,24238,34308,14711,81168,3649,102786
8.5,1,493,268457,6173,8531,8587,9070,11887,2220,28991
9.0,1,496,268457,6173,8531,8587,9070,11887,2220,28991
9.5,1,498,684824,367088,88245,41840,41750,41367,10826,93589
10.0,1,494,684824,367088,88245,41840,41750,41367,10826,93589
10.5,1,493,357631,56247,35835,38916,16689,74325,10361,123992
11.0,1,490,357631,56247,35835,38916,16689,74325,10361,123992
11.5,1,482,38932,74875,65864,17286,104003,48788,14432,122208
12.0,1,485,38932,74875,65864,17286,104003,48788,14432,122208
12.5,1,484,404377,16459,13983,10369,4459,13870,1515,26620
13.0,1,491,404377,16459,13983,10369,4459,13870,1515,26620
13.5,1,494,479436,62103,5149,18462,22575,27570,7305,129403
14.0,1,491,479436,62103,5149,18462,22575,27570,7305,129403
14.5,1,494,8621,30396,9683,10105,8108,40822,7298,153015
15.0,1,496,8621,30396,9683,10105,8108,40822,7298,153015
15.5,1,487,3179,10660,1573,37709,15496,33300,2441,103184
16.0,1,493,3179,10660,1573,37709,15496,33300,2441,103184
16.5,1,493,270219,11027,1298,4884,4988,11480,1491,33706
17.0,1,491,270219,11027,1298,4884,4988,11480,1491,33706
17.5,1,501,121862,56313,74066,15804,25738,18461,3293,133289
18.0,1,496,121862,56313,74066,15804,25738,18461,3293,133289
18.5,1,500,29417,28449,12093,18020,13269,41113,4500,119778
19.0,1,502,29417,28449,12093,18020,13269,41113,4500,119778
19.5,1,492,110817,20876,941,6356,1951,20873,836,26590
20.0,1,497,110817,20876,941,6356,1951,20873,836,26590
20.5,1,496,77530,52351,21193,24476,24579,41477,5957,125272
21.0,1,492,77530,52351,21193,24476,24579,41477,5957,125272
21.5,1,503,26244,21811,6008,25584,30125,93845,2575,125889
22.0,1,494,26244,21811,6008,25584,30125,93845,2575,125889
22.5,1,501,29141,49329,4286,6666,22409,42395,3803,83771
23.0,1,489,29141,49329,4286,6666,22409,42395,3803,83771
23.5,1,497,56684,85311,21575,13758,9313,32574,2306,108750
24.0,1,502,56684,85311,21575,13758,9313,32574,2306,108750
24.5,1,498,385883,56639,13229,10729,19163,27338,5068,116784
25.0,1,509,385883,56639,13229,10729,19163,27338,5068,116784
25.5,1,504,17113,7069,2715,4061,3730,41777,4738,114344
26.0,1,504,17113,7069,2715,4061,3730,41777,4738,114344
26.5,1,508,24890,12429,14016,13732,18720,3791,8038,123332
27.0,1,493,24890,12429,14016,13732,18720,3791,8038,123332
27.5,1,502,8484,17907,2063,4052,7790,23720,3328,112462
28.0,1,504,8484,17907,2063,4052,7790,23720,3328,112462
28.5,1,502,11033,3321,4924,7970,4512,42242,2743,118494
29.0,1,514,11033,3321,4924,7970,4512,42242,2743,118494
29.5,1,510,34068,70555,13618,21552,18758,30062,2486,115182
30.0,1,507,34068,70555,13618,21552,18758,30062,2486,115182
30.5,1,510,78280,34259,4753,10985,28696,36009,3469,127363
31.0,1,496,78280,34259,4753,10985,28696,36009,3469,127363
31.5,1,507,12172,6284,3837,12773,8311,76724,2636,115231
32.0,1,507,12172,6284,3837,12773,8311,76724,2636,115231
32.5,1,503,35225,27493,7128,8700,17838,27468,1924,133981
33.0,1,517,35225,27493,7128,8700,17838,27468,1924,133981
33.5,1,509,22029,17013,12206,22648,14895,92896,3616,120692
34.0,1,513,22029,17013,12206,22648,14895,92896,3616,120692
34.5,1,514,112465,41720,18074,12089,13029,78294,3167,108601
35.0,1,505,112465,41720,18074,12089,13029,78294,3167,108601
35.5,1,511,2174,21960,1656,10376,23852,50356,4407,120800
36.0,1,512,2174,21960,1656,10376,23852,50356,4407,120800
36.5,1,516,5964,15801,7304,5766,23766,18943,2454,140129
37.0,1,516,5964,15801,7304,5766,23766,18943,2454,140129
37.5,1,513,15876,14790,13537,3866,21436,26754,4903,128605
38.0,1,520,15876,14790,13537,3866,21436,26754,4903,128605
38.5,1,510,4861,8896,3707,13137,12784,28350,2311,107689
39.0,1,512,4861,8896,3707,13137,12784,28350,2311,107689
39.5,1,515,7973,11700,16435,3997,17063,39992,5815,112276
40.0,1,513,7973,11700,16435,3997,17063,39992,5815,112276
40.5,1,522,10032,18913,7298,8276,10503,44545,3847,120336
41.0,1,521,10032,18913,7298,8276,10503,44545,3847,120336
41.5,1,518,15389,35128,17992,12887,27921,30496,4119,119435
42.0,1,524,15389,35128,17992,12887,27921,30496,4119,119435
42.5,1,510,10669,9343,731,9388,9059,91019,1319,133023
43.0,1,519,10669,9343,731,9388,9059,91019,1319,133023
43.5,1,520,10271,2606,11877,8420,13660,51497,2908,112692
44.0,1,519,10271,2606,11877,8420,13660,51497,2908,112692
44.5,1,530,1729,4975,6747,10476,15243,53657,2628,134906
45.0,1,522,1729,4975,6747,10476,15243,53657,2628,134906
45.5,1,524,34860,12103,1753,8418,13800,57265,2438,101633
46.0,1,526,34860,12103,1753,8418,13800,57265,2438,101633
46.5,1,512,27003,8219,10026,3311,13663,6336,1810,21128
47.0,1,516,27003,8219,10026,3311,13663,6336,1810,21128
47.5,1,510,1191595,89202,87044,32783,80141,20521,16296,36130
48.0,1,500,1191595,89202,87044,32783,80141,20521,16296,36130
48.5,1,507,2012370,1077693,349217,249569,265262,51838,66599,101853
49.0,1,498,2012370,1077693,349217,249569,265262,51838,66599,101853
49.5,1,503,8808,14284,7545,8272,7113,35246,5625,137055
50.0,1,503,8808,14284,7545,8272,7113,35246,5625,137055
50.5,1,500,29545,14128,2973,15814,13920,32571,3952,141825
51.0,1,504,29545,14128,2973,15814,13920,32571,3952,141825
51.5,1,503,17657,5531,2198,5158,8091,65007,3295,140810
52.0,1,512,17657,5531,2198,5158,8091,65007,3295,140810
52.5,1,510,5241,3695,4083,7668,5578,35890,3519,136023
