SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
0.0,1,521,0,0,0,0,0,0,0,0
0.5,1,520,0,0,0,0,0,0,0,0
1.0,1,524,0,0,0,0,0,0,0,0
1.5,1,506,0,0,0,0,0,0,0,0
2.0,1,515,0,0,0,0,0,0,0,0
2.5,1,514,0,0,0,0,0,0,0,0
3.0,1,511,0,0,0,0,0,0,0,0
3.5,1,515,0,0,0,0,0,0,0,0
4.0,1,509,0,0,0,0,0,0,0,0
4.5,1,514,60,8,2,6,13,11,8,10
5.0,1,500,60,8,2,6,13,11,8,10
5.5,1,506,26,5,4,0,0,1,2,2
6.0,1,506,26,5,4,0,0,1,2,2
6.5,1,503,449263,617620,168138,54495,54708,53865,14114,213649
7.0,1,517,449263,617620,168138,54495,54708,53865,14114,213649
7.5,1,514,33836,33681,25446,27082,22363,16138,12536,190695
8.0,1,514,33836,33681,25446,27082,22363,16138,12536,190695
8.5,1,518,464492,115433,17747,13668,9732,37989,7172,225816
9.0,1,501,464492,115433,17747,13668,9732,37989,7172,225816
9.5,1,506,1227210,395052,151771,10062,14660,20547,5554,149741
10.0,1,508,1227210,395052,151771,10062,14660,20547,5554,149741
10.5,1,505,477239,359136,101168,25023,37708,47619,23495,190142
11.0,1,515,477239,359136,101168,25023,37708,47619,23495,190142
11.5,1,511,576750,26780,13755,10416,5603,8249,6311,66353
12.0,1,515,576750,26780,13755,10416,5603,8249,6311,66353
12.5,1,513,54000,176526,19954,43301,27439,38954,4668,250946
13.0,1,511,54000,176526,19954,43301,27439,38954,4668,250946
13.5,1,513,212648,51170,39468,17963,29323,21267,4502,223858
14.0,1,510,212648,51170,39468,17963,29323,21267,4502,223858
14.5,1,522,14270,15557,3097,1053,1550,2292,328,12624
15.0,1,516,14270,15557,3097,1053,1550,2292,328,12624
15.5,1,518,69027,4056,6737,13816,2141,11599,781,60014
16.0,1,520,69027,4056,6737,13816,2141,11599,781,60014
16.5,1,505,812150,82612,4516,25615,60869,27196,5427,211496
17.0,1,513,812150,82612,4516,25615,60869,27196,5427,211496
17.5,1,511,280389,95788,7628,6008,22848,53962,1925,214543
18.0,1,525,280389,95788,7628,6008,22848,53962,1925,214543
18.5,1,519,51407,21918,20358,9516,8458,31029,5651,232982
19.0,1,521,51407,21918,20358,9516,8458,31029,5651,232982
19.5,1,514,158931,72959,13275,4549,8474,26213,4069,209416
20.0,1,515,158931,72959,13275,4549,8474,26213,4069,209416
20.5,1,517,36852,36211,5316,17657,12916,22145,3298,210168
21.0,1,516,36852,36211,5316,17657,12916,22145,3298,210168
21.5,1,529,1279622,69457,11597,3266,5903,6111,1371,63352
22.0,1,522,1279622,69457,11597,3266,5903,6111,1371,63352
22.5,1,525,186561,34869,14346,13453,20384,37510,2182,214014
23.0,1,526,186561,34869,14346,13453,20384,37510,2182,214014
23.5,1,510,22335,20971,6892,5507,8757,41294,4877,251585
24.0,1,519,22335,20971,6892,5507,8757,41294,4877,251585
24.5,1,518,43105,53497,5704,5314,5497,9856,715,61569
25.0,1,524,43105,53497,5704,5314,5497,9856,715,61569
25.5,1,528,431721,122852,42142,71170,76754,19296,5668,210621
26.0,1,524,431721,122852,42142,71170,76754,19296,5668,210621
26.5,1,531,876866,27520,1424,2655,2635,5332,2061,62435
27.0,1,515,876866,27520,1424,2655,2635,5332,2061,62435
27.5,1,524,85551,10168,11222,4985,4329,2485,2500,57198
28.0,1,524,85551,10168,11222,4985,4329,2485,2500,57198
28.5,1,536,162718,41764,1899,1303,2762,10631,3203,53905
29.0,1,531,162718,41764,1899,1303,2762,10631,3203,53905
29.5,1,533,30767,23883,24768,20113,9836,15266,7875,244101
30.0,1,520,30767,23883,24768,20113,9836,15266,7875,244101
30.5,1,527,1382092,301362,42620,65708,40441,33175,10882,118686
31.0,1,522,1382092,301362,42620,65708,40441,33175,10882,118686
31.5,1,512,50621,12342,2923,713,1785,1599,785,10533
32.0,1,519,50621,12342,2923,713,1785,1599,785,10533
32.5,1,514,565939,138344,45476,62468,13908,26245,10794,52693
33.0,1,519,565939,138344,45476,62468,13908,26245,10794,52693
33.5,1,506,873263,281166,74949,33546,47208,35065,20470,39354
34.0,1,511,873263,281166,74949,33546,47208,35065,20470,39354
34.5,1,510,551193,32390,20370,50927,15548,26051,3693,270425
35.0,1,508,551193,32390,20370,50927,15548,26051,3693,270425
35.5,1,515,552328,103893,26210,64677,30867,18921,3157,233721
36.0,1,514,552328,103893,26210,64677,30867,18921,3157,233721
36.5,1,522,151373,22085,28756,35930,12870,20030,3111,224087
37.0,1,505,151373,22085,28756,35930,12870,20030,3111,224087
37.5,1,515,28862,21696,18943,7859,34351,17676,6198,248909
38.0,1,517,28862,21696,18943,7859,34351,17676,6198,248909
38.5,1,516,407138,51130,36306,12933,4183,54791,3448,202494
39.0,1,523,407138,51130,36306,12933,4183,54791,3448,202494
39.5,1,521,277773,13955,3437,3282,1985,7320,948,62724
40.0,1,526,277773,13955,3437,3282,1985,7320,948,62724
40.5,1,511,74499,9915,2529,8181,4710,10599,1087,66282
41.0,1,519,74499,9915,2529,8181,4710,10599,1087,66282
41.5,1,520,11052,57161,19998,33669,11570,68866,7321,260887
42.0,1,516,11052,57161,19998,33669,11570,68866,7321,260887
42.5,1,530,174384,134425,27361,26016,18047,21809,4278,289243
43.0,1,523,174384,134425,27361,26016,18047,21809,4278,289243
43.5,1,527,37644,23194,26725,7650,12202,25236,4813,260112
44.0,1,530,37644,23194,26725,7650,12202,25236,4813,260112
44.5,1,512,26493,19472,2227,5551,9036,50133,5930,267294
45.0,1,521,26493,19472,2227,5551,9036,50133,5930,267294
45.5,1,520,674570,42511,15541,50780,31429,41354,4052,241473
46.0,1,524,674570,42511,15541,50780,31429,41354,4052,241473
46.5,1,530,8556,8241,10056,13890,5844,87301,4369,249490
47.0,1,526,8556,8241,10056,13890,5844,87301,4369,249490
47.5,1,531,302411,66648,35351,4698,5899,48258,3885,236724
48.0,1,518,302411,66648,35351,4698,5899,48258,3885,236724
48.5,1,522,207990,24184,12060,3925,14569,36349,4235,230237
49.0,1,524,207990,24184,12060,3925,14569,36349,4235,230237
49.5,1,521,498141,33330,16927,8424,38787,22112,4581,235614
50.0,1,535,498141,33330,16927,8424,38787,22112,4581,235614
50.5,1,530,17929,31965,9698,10016,5914,27503,5306,245739
51.0,1,532,17929,31965,9698,10016,5914,27503,5306,245739
51.5,1,534,34795,16878,37631,9254,17164,38744,7563,232720
52.0,1,520,34795,16878,37631,9254,17164,38744,7563,232720
52.5,1,527,9360,19988,4421,5918,12684,83532,6138,272014
53.0,1,525,9360,19988,4421,5918,12684,83532,6138,272014
53.5,1,535,176694,24772,4677,8855,16634,35478,2439,236237
54.0,1,532,176694,24772,4677,8855,16634,35478,2439,236237
54.5,1,534,117128,29752,4052,1877,8186,8568,3852,59098
55.0,1,536,293367,13022,15447,3137,8423,8250,1855,59309
55.5,1,527,293367,13022,15447,3137,8423,8250,1855,59309
56.0,1,531,259957,13060,1813,580,3188,26751,866,51589
56.5,1,527,259957,13060,1813,580,3188,26751,866,51589
57.0,1,539,167766,25605,6774,11963,8915,57451,2211,265278
57.5,1,535,167766,25605,6774,11963,8915,57451,2211,265278
58.0,1,539,601222,76089,17708,43261,10233,33655,4060,236493
58.5,1,526,601222,76089,17708,43261,10233,33655,4060,236493
59.0,1,531,193245,68312,4925,2799,10569,43764,4542,226997
59.5,1,531,193245,68312,4925,2799,10569,43764,4542,226997
60.0,2,542,44714,20242,7235,10902,68237,39422,2893,268306
60.5,2,538,44714,20242,7235,10902,68237,39422,2893,268306
61.0,2,540,102327,35936,3958,10795,19500,22190,4345,247147
61.5,2,536,102327,35936,3958,10795,19500,22190,4345,247147
62.0,2,534,709506,40744,5808,9686,2968,7646,1555,53283
62.5,2,533,709506,40744,5808,9686,2968,7646,1555,53283
63.0,2,534,64856,78765,8264,8321,14860,14125,4757,143537
63.5,2,529,64856,78765,8264,8321,14860,14125,4757,143537
64.0,2,526,588008,21431,2931,2870,10529,7244,1170,24048
64.5,2,524,588008,21431,2931,2870,10529,7244,1170,24048
65.0,2,516,2403698,86837,26800,59144,47872,51255,8310,90400
65.5,2,521,2403698,86837,26800,59144,47872,51255,8310,90400
66.0,2,514,210047,8215,6336,3816,9524,5829,1454,22796
66.5,2,518,210047,8215,6336,3816,9524,5829,1454,22796
67.0,2,512,734360,67081,52551,18805,30371,19506,6828,90906
67.5,2,518,734360,67081,52551,18805,30371,19506,6828,90906
68.0,2,507,21395,30448,48711,9965,9290,70259,7450,120793
68.5,2,514,21395,30448,48711,9965,9290,70259,7450,120793
69.0,2,517,18692,18557,1062,4479,19179,65081,7300,128034
69.5,2,521,18692,18557,1062,4479,19179,65081,7300,128034
70.0,2,521,30261,49479,11945,33324,16299,44500,2590,143263
70.5,2,522,30261,49479,11945,33324,16299,44500,2590,143263
