SEC,GSR,STATE
0.0,288,1
0.5,285,1
1.0,283,1
1.5,280,1
2.0,283,1
2.5,285,1
3.0,285,1
3.5,284,1
4.0,279,1
4.5,275,1
5.0,274,1
5.5,278,1
6.0,286,1
6.5,292,1
7.0,297,1
7.5,298,1
8.0,295,1
8.5,290,1
9.0,291,1
9.5,291,1
10.0,294,1
10.5,300,1
11.0,303,1
11.5,304,1
12.0,304,1
12.5,298,1
13.0,296,1
13.5,295,1
14.0,297,1
14.5,304,1
15.0,308,1
15.5,310,1
16.0,309,1
16.5,307,1
17.0,303,1
17.5,302,1
18.0,302,1
18.5,307,1
19.0,312,1
19.5,316,1
20.0,315,1
20.5,315,1
21.0,312,1
21.5,307,1
22.0,307,1
22.5,308,1
23.0,313,1
23.5,317,1
24.0,319,1
24.5,317,1
25.0,312,1
25.5,298,1
26.0,286,1
26.5,279,1
27.0,273,1
27.5,279,1
28.0,284,1
28.5,289,1
29.0,293,1
29.5,295,1
30.0,291,1
30.5,292,1
31.0,294,1
31.5,299,1
32.0,305,1
32.5,307,1
33.0,308,1
33.5,308,1
34.0,302,1
34.5,300,1
35.0,301,1
35.5,301,1
36.0,307,1
36.5,310,1
37.0,312,1
37.5,310,1
38.0,307,1
38.5,304,1
39.0,303,1
39.5,305,1
40.0,308,1
40.5,315,1
41.0,317,1
41.5,319,1
42.0,316,1
42.5,310,1
43.0,308,1
43.5,309,1
44.0,310,1
44.5,317,1
45.0,322,1
45.5,322,1
46.0,322,1
46.5,318,1
47.0,313,1
47.5,313,1
48.0,312,1
48.5,317,1
49.0,322,1
49.5,326,1
50.0,325,1
50.5,322,1
51.0,317,1
51.5,316,1
52.0,313,1
52.5,318,1
53.0,324,1
53.5,327,1
54.0,328,1
54.5,329,1
55.0,323,1
55.5,319,1
56.0,319,1
56.5,320,1
57.0,327,1
57.5,331,1
58.0,332,1
58.5,332,1
59.0,326,1
59.5,323,1
60.0,323,2
60.5,323,2
61.0,329,2
61.5,334,2
62.0,332,2
62.5,323,2
63.0,307,2
63.5,294,2
64.0,289,2
64.5,290,2
65.0,295,2
65.5,296,2
66.0,290,2
66.5,288,2
67.0,286,2
67.5,285,2
68.0,286,2
68.5,290,2
69.0,296,2
69.5,305,2
70.0,307,2
70.5,308,2
71.0,305,2
71.5,300,2
72.0,300,2
72.5,301,2
73.0,305,2
73.5,312,2
74.0,314,2
74.5,314,2
75.0,313,2
75.5,307,2
76.0,306,2
76.5,306,2
77.0,310,2
77.5,318,2
78.0,319,2
78.5,320,2
79.0,317,2
79.5,312,2
80.0,312,2
80.5,311,2
81.0,317,2
81.5,322,2
82.0,325,2
82.5,326,2
83.0,321,2
83.5,316,2
84.0,316,2
84.5,317,2
85.0,323,2
85.5,328,2
86.0,331,2
86.5,330,2
87.0,324,2
87.5,319,2
88.0,320,2
88.5,323,2
89.0,330,2
89.5,335,2
90.0,334,2
90.5,332,2
91.0,325,2
91.5,324,2
92.0,325,2
92.5,329,2
93.0,337,2
93.5,338,2
94.0,339,2
94.5,332,2
95.0,326,2
95.5,327,2
96.0,328,2
96.5,336,2
97.0,338,2
97.5,341,2
98.0,336,2
98.5,329,2
99.0,330,2
99.5,331,2
100.0,337,2
100.5,341,2
101.0,341,2
101.5,337,2
102.0,332,2
102.5,330,2
103.0,332,2
103.5,341,2
104.0,345,2
104.5,344,2
105.0,340,2
105.5,333,2
106.0,333,2
106.5,335,2
107.0,343,2
107.5,347,2
108.0,346,2
108.5,343,2
109.0,337,2
109.5,335,2
110.0,336,2
110.5,345,2
111.0,351,2
111.5,350,2
112.0,348,2
112.5,341,2
113.0,337,2
113.5,336,2
114.0,340,2
114.5,345,2
115.0,347,2
115.5,346,2
116.0,338,2
116.5,338,2
117.0,338,2
117.5,344,2
118.0,349,2
118.5,351,2
119.0,347,2
119.5,340,2
120.0,338,2
120.5,339,2
121.0,347,2
121.5,350,2
122.0,350,2
122.5,346,2
123.0,341,2
123.5,341,2
124.0,341,2
124.5,346,2
125.0,344,2
125.5,338,2
126.0,333,2
126.5,326,2
127.0,326,2
127.5,329,2
128.0,336,2
128.5,343,2
129.0,343,2
129.5,341,2
130.0,334,2
130.5,331,2
131.0,333,2
131.5,337,2
132.0,343,2
132.5,347,2
133.0,347,2
133.5,341,2
134.0,335,2
134.5,336,2
135.0,338,2
135.5,344,2
136.0,350,2
136.5,351,2
137.0,349,2
137.5,342,2
138.0,339,2
138.5,340,2
139.0,342,2
139.5,350,2
140.0,353,2
140.5,354,2
141.0,351,2
141.5,344,2
142.0,341,2
142.5,340,2
143.0,344,2
143.5,348,2
144.0,351,2
144.5,348,2
145.0,343,2
145.5,339,2
146.0,339,2
146.5,341,2
147.0,350,2
147.5,353,2
148.0,352,2
148.5,349,2
149.0,342,2
149.5,340,2
150.0,341,2
150.5,348,2
151.0,353,2
151.5,356,2
152.0,356,2
152.5,350,2
153.0,343,2
153.5,345,2
154.0,346,2
154.5,351,2
155.0,358,2
155.5,359,2
156.0,358,2
156.5,352,2
157.0,348,2
157.5,348,2
158.0,350,2
158.5,355,2
159.0,362,2
159.5,363,2
160.0,362,2
160.5,355,2
161.0,351,2
161.5,352,2
162.0,355,2
162.5,362,2
163.0,365,2
